color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
Black/Off White,Where Classics Meet Comfort,"https://images.vans.com/is/image/Vans/VN0A3WMD_VO4_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A3WMD_VO4_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A3WMD_VO4_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A3WMD_VO4_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A3WMD_VO4_ALT4?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A3WMD_VO4_ALT5?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Slip-On ComfyCush Checkerboard Shoe,$70.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/slip-on-comfycush-checkerboard-shoe-pvn0a3wmdvo4,https://www.vans.com/en-us/shoes-c00081
Black/White,The Iconic Shoe that Brought our Sidestripe to Life: This is the Old Skool,"https://images.vans.com/is/image/Vans/VN0A38G1_P0S_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A38G1_P0S_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A38G1_P0S_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A38G1_P0S_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A38G1_P0S_ALT4?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A38G1_P0S_ALT5?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A38G1_P0S_ALT6?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Old Skool Primary Check Shoe,$75.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/old-skool-primary-check-shoe-pvn0a38g1p0s,https://www.vans.com/en-us/shoes-c00081
Black/Black,Bringing New Heights to Our Tapered Sidestripe Shoe,"https://images.vans.com/is/image/Vans/VN0A5JMK_BKA_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A5JMK_BKA_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A5JMK_BKA_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0A5JMK_BKA_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Sk8-Hi Tapered Stackform Suede Canvas Shoe,$90.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/sk8-hi-tapered-stackform-suede-canvas-shoe-pvn0a5jmkbka,https://www.vans.com/en-us/shoes-c00081
Shadow/True White,The Legendary High-Top that’s been Changing the Game Since 1978,"https://images.vans.com/is/image/Vans/VN0007NS_XN7_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0007NS_XN7_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0007NS_XN7_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0007NS_XN7_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Sk8-Hi Glow Shoe,$90.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/sk8-hi-glow-shoe-pvn0007nsxn7,https://www.vans.com/en-us/shoes-c00081
Cherries Jubilee,"The Trend-Setting Slip-On Recharged by Bold, Fresh Colors","https://images.vans.com/is/image/Vans/VN000BVZ_C9L_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000BVZ_C9L_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000BVZ_C9L_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000BVZ_C9L_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Classic Slip-On Checkerboard Shoe,$65.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/classic-slip-on-checkerboard-shoe-pvn000bvzc9l,https://www.vans.com/en-us/shoes-c00081
Cherries Jubilee,"Bold, Fresh Colors Energize our Original Sidestripe Shoe","https://images.vans.com/is/image/Vans/VN0005UF_C9L_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0005UF_C9L_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0005UF_C9L_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0005UF_C9L_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Old Skool Shoe,$70.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/old-skool-shoe-pvn0005ufc9l,https://www.vans.com/en-us/shoes-c00081
Cherries Jubilee,"Our Slim High-Top Shoe Recharged with Bold, Fresh Colors","https://images.vans.com/is/image/Vans/VN0009QP_C9L_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0009QP_C9L_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0009QP_C9L_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN0009QP_C9L_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Sk8-Hi Tapered Shoe,$75.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/sk8-hi-tapered-shoe-pvn0009qpc9l,https://www.vans.com/en-us/shoes-c00081
Marshmallow,The Slip-On that’s been Setting Trends Since 1979,"https://images.vans.com/is/image/Vans/VN000BVZ_CCZ_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000BVZ_CCZ_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000BVZ_CCZ_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000BVZ_CCZ_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Classic Slip-On Tapestry Floral Shoe,$60.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/classic-slip-on-tapestry-floral-shoe-pvn000bvzccz,https://www.vans.com/en-us/shoes-c00081
Marshmallow,The Iconic Shoe that Brought our Sidestripe to Life: This is the Old Skool,"https://images.vans.com/is/image/Vans/VN000CP5_CCZ_HERO?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000CP5_CCZ_ALT1?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000CP5_CCZ_ALT2?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0,https://images.vans.com/is/image/Vans/VN000CP5_CCZ_ALT3?wid=1600&hei=1984&fmt=jpeg&qlt=90&resMode=sharp2&op_usm=0.9,1.7,8,0",Vans,Old Skool Tapestry Floral Shoe,$75.00,"B3.5 / W5,B4 / W5.5,B4.5 / W6,B5 / W6.5,B5.5 / W7,B6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M13 / W14.5",https://www.vans.com/en-us/shoes-c00081/old-skool-tapestry-floral-shoe-pvn000cp5ccz,https://www.vans.com/en-us/shoes-c00081
